source,target,weight
Gillian Anderson,Joanna Lumley,1
Gillian Anderson,Dakota Fanning,1
Gillian Anderson,Christina Hendricks,1
Gillian Anderson,Andrea Riseborough,1
Gillian Anderson,Tess Harper,1
Gillian Anderson,Emma Mackey,1
Gillian Anderson,Helen Mirren,1
Gillian Anderson,Amanda Abbington,1
Gillian Anderson,Angelina Jolie,1
Gillian Anderson,Jenny Slate,1
Gillian Anderson,Lily James,1
Gillian Anderson,Lily Rabe,1
Gillian Anderson,Glenn Close,1
Gillian Anderson,Carey Mulligan,1
Gillian Anderson,Megan Fox,1
Gillian Anderson,Gugu Mbatha-Raw,1
Gillian Anderson,Michelle Pfeiffer,1
Gillian Anderson,Kerry Washington,1
Gillian Anderson,Léa Seydoux,1
Gillian Anderson,Lena Headey,1
Gillian Anderson,Gena Rowlands,1
Gillian Anderson,Kirsten Dunst,1
Gillian Anderson,Jane Alexander,1
Gillian Anderson,Laura Linney,1
Gillian Anderson,Rosamund Pike,1
Gillian Anderson,Vanessa Kirby,1
Gillian Anderson,Viola Davis,1
Gillian Anderson,Ella Purnell,1
Gillian Anderson,Patricia Clarkson,1
Gillian Anderson,Monica Dolan,1
Gillian Anderson,Heather Graham,1
Gillian Anderson,Clea DuVall,1
Gillian Anderson,Keira Knightley,1
Gillian Anderson,Ellen Burstyn,1
Gillian Anderson,Sally Hawkins,1
Gillian Anderson,April Grace,1
Gillian Anderson,Geraldine James,1
Gillian Anderson,Amanda Peet,1
Jennifer Aniston,Kathryn Hahn,3
Jennifer Aniston,Haley Bennett,1
Jennifer Aniston,Frances McDormand,1
Jennifer Aniston,Christina Pickles,1
Jennifer Aniston,Zooey Deschanel,1
Jennifer Aniston,Nicole Kidman,1
Jennifer Aniston,Morgan Lily,1
Jennifer Aniston,Margo Martindale,1
Jennifer Aniston,Emma Roberts,1
Jennifer Aniston,Hayden Panettiere,1
Jennifer Aniston,Mena Suvari,1
Jennifer Aniston,Isla Fisher,1
Jennifer Aniston,Ginnifer Goodwin,1
Jennifer Aniston,Brooklyn Decker,1
Jennifer Aniston,Lisa Kudrow,1
Jennifer Aniston,Reese Witherspoon,1
Jennifer Aniston,Jennifer Connelly,1
Jennifer Aniston,Christine Baranski,1
Jennifer Aniston,Lisa Ann Walter,1
Jennifer Aniston,Olivia Munn,1
Jennifer Aniston,Nora Dunn,1
Jennifer Aniston,Judy Greer,1
Jennifer Aniston,Joan Cusack,1
Jennifer Aniston,Karen Pittman,1
Jennifer Aniston,Imogen Poots,1
Jennifer Aniston,Gemma Arterton,1
Jennifer Aniston,Kate Hudson,1
Jennifer Aniston,Catherine Keener,1
Jennifer Aniston,Anna Kendrick,1
Jennifer Aniston,Leslie Mann,1
Jennifer Aniston,Malin Akerman,1
Jennifer Aniston,Viola Davis,1
Jennifer Aniston,Courteney Cox,1
Jennifer Aniston,Maggie Wheeler,1
Jennifer Aniston,Kathy Najimy,1
Jennifer Aniston,Kate McKinnon,1
Jennifer Aniston,Juliette Lewis,1
Jennifer Aniston,Cameron Diaz,1
Jennifer Aniston,Julia Roberts,1
Jennifer Aniston,Gwyneth Paltrow,1
Jennifer Aniston,Mayim Bialik,1
Jennifer Aniston,Odeya Rush,1
Jennifer Aniston,Mélanie Laurent,1
Jennifer Aniston,Molly C. Quinn,1
Jennifer Aniston,Amanda Peet,1
Jennifer Aniston,Frances Conroy,1
Patricia Arquette,Jena Malone,1
Patricia Arquette,Vinessa Shaw,1
Patricia Arquette,Rachel Ticotin,1
Patricia Arquette,Jodie Comer,1
Patricia Arquette,Frances McDormand,1
Patricia Arquette,Mary-Louise Parker,1
Patricia Arquette,Celia Weston,1
Patricia Arquette,Elizabeth Lail,1
Patricia Arquette,Bonnie Hunt,1
Patricia Arquette,Frances Fisher,1
Patricia Arquette,Sela Ward,1
Patricia Arquette,Katheryn Winnick,1
Patricia Arquette,Sarah Jessica Parker,1
Patricia Arquette,AnnaSophia Robb,1
Patricia Arquette,Kate Beckinsale,1
Patricia Arquette,Reese Witherspoon,1
Patricia Arquette,Téa Leoni,1
Patricia Arquette,Lily Tomlin,1
Patricia Arquette,Zazie Beetz,1
Patricia Arquette,Lois Smith,1
Patricia Arquette,Ellen DeGeneres,1
Patricia Arquette,Libby Villari,1
Patricia Arquette,Chloë Sevigny,3
Patricia Arquette,Mary Elizabeth Winstead,1
Patricia Arquette,Joey King,1
Patricia Arquette,Heather Graham,1
Patricia Arquette,Eva Mendes,1
Patricia Arquette,Aida Turturro,1
Patricia Arquette,Brittany Snow,1
Patricia Arquette,Angela Bassett,1
Patricia Arquette,Amy Yasbeck,1
Fairuza Balk,Kathy Bates,1
Fairuza Balk,Christine Taylor,1
Fairuza Balk,Jennifer Coolidge,1
Fairuza Balk,Conchata Ferrell,1
Fairuza Balk,Kate Hudson,1
Fairuza Balk,Mary-Louise Parker,1
Fairuza Balk,Frances McDormand,1
Fairuza Balk,Anna Paquin,1
Fairuza Balk,Zooey Deschanel,1
Fairuza Balk,Elisabeth Moss,1
Fairuza Balk,Amanda Plummer,1
Fairuza Balk,Eva Mendes,1
Fairuza Balk,Alanna Ubach,1
Fairuza Balk,Neve Campbell,1
Fairuza Balk,Kim Dickens,1
Fairuza Balk,Beverly D'Angelo,1
Fairuza Balk,Diane Baker,1
Fairuza Balk,Téa Leoni,1
Fairuza Balk,Parker Posey,1
Drew Barrymore,Lusia Strus,1
Drew Barrymore,Mary Elizabeth Ellis,1
Drew Barrymore,Mary-Louise Parker,1
Drew Barrymore,Maya Rudolph,2
Drew Barrymore,Christina Pickles,1
Drew Barrymore,Nicole Kidman,1
Drew Barrymore,Whoopi Goldberg,1
Drew Barrymore,Holland Taylor,1
Drew Barrymore,Brittany Murphy,1
Drew Barrymore,Jennifer Jason Leigh,1
Drew Barrymore,Melanie Lynskey,1
Drew Barrymore,Michaela Jill Murphy,1
Drew Barrymore,Piper Perabo,1
Drew Barrymore,Neve Campbell,1
Drew Barrymore,Jessica Capshaw,1
Drew Barrymore,Kate Beckinsale,1
Drew Barrymore,Naomi Scott,1
Drew Barrymore,Alia Shawkat,1
Drew Barrymore,Toni Collette,1
Drew Barrymore,Octavia Spencer,1
Drew Barrymore,Madeleine Stowe,1
Drew Barrymore,Ellie Kemper,1
Drew Barrymore,Demi Moore,1
Drew Barrymore,Melissa Leo,1
Drew Barrymore,Lucy Liu,2
Drew Barrymore,Christine Taylor,2
Drew Barrymore,Rosemarie DeWitt,1
Drew Barrymore,Molly Shannon,1
Drew Barrymore,Jamie Lee Curtis,1
Drew Barrymore,Joan Allen,1
Drew Barrymore,Andie MacDowell,1
Drew Barrymore,Anjelica Huston,1
Drew Barrymore,Christina Applegate,1
Drew Barrymore,Jessica Lange,1
Drew Barrymore,Courteney Cox,1
Drew Barrymore,Kristen Wiig,1
Drew Barrymore,Catherine O'Hara,1
Drew Barrymore,Ellen Albertini Dow,1
Drew Barrymore,Cameron Diaz,2
Drew Barrymore,Gwyneth Paltrow,1
Drew Barrymore,Ellen Burstyn,1
Drew Barrymore,Julia Roberts,2
Drew Barrymore,Rosie Perez,1
Drew Barrymore,Lorraine Bracco,1
Drew Barrymore,Marcia Gay Harden,1
Kim Basinger,Mila Kunis,1
Kim Basinger,Uma Thurman,1
Kim Basinger,Elisabeth Shue,1
Kim Basinger,Maria Bello,1
Kim Basinger,Christina Ricci,1
Kim Basinger,Brittany Murphy,1
Kim Basinger,Lio Tipton,1
Kim Basinger,Jennifer Tilly,1
Kim Basinger,Olivia Wilde,1
Kim Basinger,Julia Roberts,1
Kim Basinger,Annie Potts,1
Kim Basinger,Amber Heard,1
Kim Basinger,Jessica Biel,1
Kim Basinger,Téa Leoni,1
Kim Basinger,Barbara Hershey,1
Kim Basinger,Elle Fanning,1
Kim Basinger,Sarah Wayne Callies,1
Sandra Bullock,Da'Vine Joy Randolph,1
Sandra Bullock,Allison Janney,1
Sandra Bullock,Kathy Bates,1
Sandra Bullock,Heather Burns,3
Sandra Bullock,Candice Bergen,1
Sandra Bullock,Jane Curtin,1
Sandra Bullock,Sigourney Weaver,1
Sandra Bullock,Nicole Kidman,2
Sandra Bullock,Helen Mirren,1
Sandra Bullock,Cate Blanchett,1
Sandra Bullock,Evan Rachel Wood,1
Sandra Bullock,Dana Ivey,1
Sandra Bullock,Karina Arroyave,1
Sandra Bullock,Lily Collins,1
Sandra Bullock,Jennifer Saunders,1
Sandra Bullock,Maura Tierney,1
Sandra Bullock,Kim Dickens,1
Sandra Bullock,Michelle Pfeiffer,1
Sandra Bullock,Melissa McCarthy,1
Sandra Bullock,Diane Baker,1
Sandra Bullock,Mary Steenburgen,1
Sandra Bullock,Amber Valletta,1
Sandra Bullock,Maggie Smith,1
Sandra Bullock,Regina King,1
Sandra Bullock,Shawnee Smith,1
Sandra Bullock,Sarah Paulson,1
Sandra Bullock,Gena Rowlands,1
Sandra Bullock,Fionnula Flanagan,1
Sandra Bullock,Katy Mixon Greer,2
Sandra Bullock,Samantha Mathis,1
Sandra Bullock,Malin Akerman,1
Sandra Bullock,Viola Davis,1
Sandra Bullock,Lynn Collins,1
Sandra Bullock,Mindy Kaling,1
Sandra Bullock,Thandiwe Newton,1
Sandra Bullock,Rosa Salazar,1
Sandra Bullock,Kathy Najimy,1
Sandra Bullock,Joey King,2
Sandra Bullock,Dianne Wiest,2
Sandra Bullock,Anne Hathaway,1
Sandra Bullock,Adriane Lenox,1
Sandra Bullock,Maisie Williams,1
Sandra Bullock,Mae Whitman,1
Sandra Bullock,Gwyneth Paltrow,1
Sandra Bullock,Ellen Burstyn,1
Sandra Bullock,Jacki Weaver,1
Sandra Bullock,Ashley Judd,1
Sandra Bullock,Carrie Fisher,1
Sandra Bullock,Cherry Jones,1
Neve Campbell,Lana Parrilla,1
Neve Campbell,Kathy Bates,1
Neve Campbell,Yaya DaCosta,1
Neve Campbell,Christine Taylor,1
Neve Campbell,Jada Pinkett Smith,1
Neve Campbell,Julie Delpy,1
Neve Campbell,Mckenna Grace,1
Neve Campbell,Jamie Lee Curtis,1
Neve Campbell,Anna Paquin,1
Neve Campbell,Kristen Bell,2
Neve Campbell,Miranda Richardson,1
Neve Campbell,Kristin Kreuk,1
Neve Campbell,Dominique McElligott,1
Neve Campbell,Madison Iseman,1
Neve Campbell,Mikey Madison,1
Neve Campbell,Courteney Cox,6
Neve Campbell,Amy Smart,1
Neve Campbell,Heather Graham,1
Neve Campbell,Sela Ward,1
Neve Campbell,Ellen Albertini Dow,1
Neve Campbell,Tracey Ullman,1
Neve Campbell,Jenna Ortega,1
Neve Campbell,Beverly D'Angelo,1
Neve Campbell,Salma Hayek,1
Neve Campbell,Christine Baranski,1
Neve Campbell,Imogen Poots,1
Neve Campbell,Anna Camp,1
Jennifer Connelly,Kathy Bates,1
